,x_kalman1,labels,Model Confidence Prediction,Model Thresholded Prediction,min,sec
240,0.03,0,2,0,6,18
241,0.03,0,2,0,6,18
242,0.04,0,3,0,6,18
243,0.03,0,1,0,6,18
244,0.03,0,0,0,6,18
245,0.02,0,0,0,6,18
246,0.02,0,0,0,6,18
247,0.02,0,0,0,6,18
248,0.02,0,0,0,6,18
249,0.01,0,0,0,6,18
250,0.01,0,0,0,6,18
251,0.01,0,0,0,6,18
252,0.01,0,0,0,6,18
253,0.0,0,0,0,6,18
254,0.0,0,0,0,6,18
255,0.0,0,0,0,6,18
256,0.0,0,0,0,6,19
257,0.0,0,0,0,6,19
258,0.0,0,0,0,6,19
259,0.0,0,0,0,6,19
260,-0.0,0,0,0,6,19
261,-0.0,0,0,0,6,19
262,-0.0,0,0,0,6,19
263,-0.01,0,0,0,6,19
264,-0.01,0,0,0,6,19
265,-0.01,0,0,0,6,19
266,-0.01,0,0,0,6,19
267,-0.02,0,0,0,6,19
268,-0.02,0,0,0,6,19
269,-0.02,0,0,0,6,19
270,-0.02,0,0,0,6,19
271,-0.02,0,0,0,6,19
272,-0.02,0,0,0,6,19
273,-0.02,0,0,0,6,19
274,-0.02,0,0,0,6,20
275,-0.02,0,0,0,6,20
276,-0.02,0,0,0,6,20
277,-0.02,0,0,0,6,20
278,-0.02,0,0,0,6,20
279,-0.02,0,0,0,6,20
280,-0.02,0,0,0,6,20
281,-0.02,0,0,0,6,20
282,-0.02,0,0,0,6,20
283,-0.03,0,0,0,6,20
284,-0.02,0,0,0,6,20
285,-0.02,0,0,0,6,20
286,-0.03,0,0,0,6,20
287,-0.03,0,0,0,6,20
288,-0.03,0,0,0,6,20
289,-0.02,0,0,0,6,20
290,-0.03,0,0,0,6,20
291,-0.03,0,0,0,6,21
292,-0.03,0,0,0,6,21
293,-0.03,0,0,0,6,21
294,-0.03,0,0,0,6,21
295,-0.03,0,0,0,6,21
296,-0.03,0,0,0,6,21
297,-0.03,0,0,0,6,21
298,-0.03,0,0,0,6,21
299,-0.04,0,0,0,6,21
300,-0.04,0,0,0,6,21
301,-0.03,0,0,0,6,21
302,-0.03,0,0,0,6,21
303,-0.03,0,0,0,6,21
304,-0.04,0,0,0,6,21
305,-0.03,0,0,0,6,21
306,-0.03,0,0,0,6,21
307,-0.04,0,0,0,6,21
308,-0.03,0,0,0,6,22
309,-0.03,0,0,0,6,22
310,-0.03,0,0,0,6,22
311,-0.03,0,0,0,6,22
312,-0.04,0,0,0,6,22
313,-0.04,0,0,0,6,22
314,-0.04,0,0,0,6,22
315,-0.04,0,0,0,6,22
316,-0.04,0,0,0,6,22
317,-0.04,0,0,0,6,22
318,-0.04,0,0,0,6,22
319,-0.04,0,0,0,6,22
320,-0.03,0,0,0,6,22
321,-0.04,0,0,0,6,22
322,-0.04,0,0,0,6,22
323,-0.04,0,0,0,6,22
324,-0.04,0,0,0,6,22
325,-0.03,0,0,0,6,23
326,-0.03,0,0,0,6,23
327,-0.03,0,0,0,6,23
328,-0.03,0,0,0,6,23
329,-0.03,0,0,0,6,23
330,-0.03,0,1,0,6,23
331,-0.03,0,2,0,6,23
332,-0.02,0,6,0,6,23
333,-0.02,0,13,0,6,23
334,-0.02,0,26,0,6,23
335,-0.02,0,35,0,6,23
336,-0.02,1,42,0,6,23
337,-0.02,1,45,1,6,23
338,-0.02,1,62,1,6,23
339,-0.01,1,71,1,6,23
340,-0.01,1,74,1,6,23
341,-0.01,1,74,1,6,23
342,-0.0,1,75,1,6,23
343,-0.0,1,80,1,6,24
344,0.01,1,86,1,6,24
345,0.01,1,91,1,6,24
346,0.01,1,93,1,6,24
347,0.01,1,93,1,6,24
348,0.02,1,92,1,6,24
349,0.02,1,93,1,6,24
350,0.02,1,92,1,6,24
351,0.03,1,91,1,6,24
352,0.03,1,90,1,6,24
353,0.03,1,89,1,6,24
354,0.03,1,89,1,6,24
355,0.03,0,85,1,6,24
356,0.04,0,79,1,6,24
357,0.02,0,30,0,6,24
358,0.02,0,2,0,6,24
359,0.04,0,1,0,6,24
360,0.04,0,4,0,6,25
361,0.04,0,5,0,6,25
362,0.04,0,1,0,6,25
363,0.03,0,0,0,6,25
364,0.02,0,0,0,6,25
365,0.02,0,0,0,6,25
366,0.02,0,0,0,6,25
367,0.01,0,0,0,6,25
368,0.01,0,0,0,6,25
369,0.01,0,0,0,6,25
370,0.01,0,0,0,6,25
371,0.01,0,0,0,6,25
372,0.0,0,0,0,6,25
373,0.0,0,0,0,6,25
374,-0.0,0,0,0,6,25
375,-0.0,0,0,0,6,25
376,-0.01,0,0,0,6,25
377,-0.01,0,0,0,6,25
378,-0.01,0,0,0,6,26
379,-0.01,0,0,0,6,26
380,-0.01,0,0,0,6,26
381,-0.01,0,0,0,6,26
382,-0.01,0,0,0,6,26
383,-0.01,0,0,0,6,26
384,-0.02,0,0,0,6,26
385,-0.02,0,0,0,6,26
386,-0.02,0,0,0,6,26
387,-0.02,0,0,0,6,26
388,-0.02,0,0,0,6,26
389,-0.02,0,0,0,6,26
390,-0.02,0,0,0,6,26
391,-0.02,0,0,0,6,26
392,-0.02,0,0,0,6,26
393,-0.02,0,0,0,6,26
394,-0.02,0,0,0,6,26
395,-0.02,0,0,0,6,27
396,-0.02,0,0,0,6,27
397,-0.02,0,0,0,6,27
398,-0.02,0,0,0,6,27
399,-0.02,0,0,0,6,27
400,-0.02,0,0,0,6,27
401,-0.02,0,0,0,6,27
402,-0.02,0,0,0,6,27
403,-0.02,0,0,0,6,27
404,-0.02,0,0,0,6,27
405,-0.02,0,0,0,6,27
406,-0.02,0,0,0,6,27
407,-0.02,0,0,0,6,27
408,-0.02,0,0,0,6,27
409,-0.02,0,0,0,6,27
410,-0.02,0,0,0,6,27
411,-0.02,0,0,0,6,27
412,-0.02,0,0,0,6,27
413,-0.02,0,0,0,6,28
414,-0.02,0,0,0,6,28
415,-0.02,0,0,0,6,28
416,-0.02,0,0,0,6,28
417,-0.02,0,0,0,6,28
418,-0.02,0,0,0,6,28
419,-0.02,0,0,0,6,28
