,labels,Model Confidence Prediction,Model Thresholded Prediction,min,sec
565,0,0,0,6,36
566,0,0,0,6,36
567,0,0,0,6,36
568,0,0,0,6,36
569,0,0,0,6,37
570,0,0,0,6,37
571,0,0,0,6,37
572,0,0,0,6,37
573,0,0,0,6,37
574,0,0,0,6,37
575,0,0,0,6,37
576,0,0,0,6,37
577,0,0,0,6,37
578,0,0,0,6,37
579,0,0,0,6,37
580,0,0,0,6,37
581,0,0,0,6,37
582,0,0,0,6,37
583,0,0,0,6,37
584,0,0,0,6,37
585,0,0,0,6,37
586,0,0,0,6,38
587,0,0,0,6,38
588,0,0,0,6,38
589,0,0,0,6,38
590,0,0,0,6,38
591,0,0,0,6,38
592,0,0,0,6,38
593,0,0,0,6,38
594,0,0,0,6,38
595,0,0,0,6,38
596,0,0,0,6,38
597,0,0,0,6,38
598,0,0,0,6,38
599,0,0,0,6,38
600,0,0,0,6,38
601,0,0,0,6,38
602,0,0,0,6,38
603,0,0,0,6,38
604,0,0,0,6,39
605,0,0,0,6,39
606,0,0,0,6,39
607,0,0,0,6,39
608,0,0,0,6,39
609,0,0,0,6,39
610,0,0,0,6,39
611,0,0,0,6,39
612,0,0,0,6,39
613,0,1,0,6,39
614,0,2,0,6,39
615,0,4,0,6,39
616,0,5,0,6,39
617,0,5,0,6,39
618,0,5,0,6,39
619,0,5,0,6,39
620,0,4,0,6,39
621,0,4,0,6,40
622,0,3,0,6,40
623,0,3,0,6,40
624,0,2,0,6,40
625,0,2,0,6,40
626,0,2,0,6,40
627,0,2,0,6,40
628,0,1,0,6,40
629,0,0,0,6,40
630,0,0,0,6,40
631,0,0,0,6,40
632,0,0,0,6,40
633,0,0,0,6,40
634,0,0,0,6,40
635,0,0,0,6,40
636,0,0,0,6,40
637,0,0,0,6,40
638,0,0,0,6,40
639,0,0,0,6,41
640,0,0,0,6,41
641,0,0,0,6,41
642,0,0,0,6,41
643,0,0,0,6,41
644,0,0,0,6,41
645,0,0,0,6,41
646,0,0,0,6,41
647,0,0,0,6,41
648,0,0,0,6,41
649,0,0,0,6,41
650,0,0,0,6,41
651,0,0,0,6,41
652,0,0,0,6,41
653,0,1,0,6,41
654,0,1,0,6,41
655,0,1,0,6,41
656,0,1,0,6,42
657,0,1,0,6,42
658,0,1,0,6,42
659,0,1,0,6,42
660,0,2,0,6,42
661,0,4,0,6,42
662,0,5,0,6,42
663,0,8,0,6,42
664,0,11,0,6,42
665,0,16,0,6,42
666,0,22,0,6,42
667,0,31,0,6,42
668,0,36,0,6,42
669,0,36,0,6,42
670,0,39,0,6,42
671,0,48,1,6,42
672,0,63,1,6,42
673,0,71,1,6,43
674,1,74,1,6,43
675,1,74,1,6,43
676,1,76,1,6,43
677,1,79,1,6,43
678,1,81,1,6,43
679,1,84,1,6,43
680,1,85,1,6,43
681,1,87,1,6,43
682,1,87,1,6,43
683,1,88,1,6,43
684,1,87,1,6,43
685,1,85,1,6,43
686,1,82,1,6,43
687,1,81,1,6,43
688,1,80,1,6,43
689,1,80,1,6,43
690,1,78,1,6,43
691,1,71,1,6,44
692,1,59,1,6,44
693,1,49,1,6,44
694,1,46,1,6,44
695,1,44,1,6,44
696,1,45,1,6,44
697,1,51,1,6,44
698,1,57,1,6,44
699,1,57,1,6,44
700,1,54,1,6,44
701,1,43,1,6,44
702,1,29,0,6,44
703,1,15,0,6,44
704,1,9,0,6,44
705,1,9,0,6,44
706,1,6,0,6,44
707,1,3,0,6,44
708,1,2,0,6,45
709,1,5,0,6,45
710,0,8,0,6,45
711,0,11,0,6,45
712,0,14,0,6,45
713,0,8,0,6,45
714,0,2,0,6,45
715,0,1,0,6,45
716,0,0,0,6,45
717,0,0,0,6,45
718,0,0,0,6,45
719,0,0,0,6,45
720,0,0,0,6,45
721,0,0,0,6,45
722,0,0,0,6,45
723,0,0,0,6,45
724,0,0,0,6,45
725,0,0,0,6,45
726,0,0,0,6,46
727,0,0,0,6,46
728,0,0,0,6,46
729,0,0,0,6,46
730,0,0,0,6,46
731,0,0,0,6,46
732,0,0,0,6,46
733,0,0,0,6,46
734,0,0,0,6,46
735,0,0,0,6,46
736,0,0,0,6,46
737,0,0,0,6,46
738,0,0,0,6,46
739,0,0,0,6,46
740,0,0,0,6,46
741,0,0,0,6,46
742,0,0,0,6,46
743,0,0,0,6,47
744,0,0,0,6,47
745,0,0,0,6,47
746,0,0,0,6,47
747,0,0,0,6,47
748,0,0,0,6,47
749,0,0,0,6,47
