"hour","min","second","x_raw","x_kal1","x_kal2","x_kal3","x_kal4","x_kal5","label"
0,0,2,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,425
0,0,2,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,438
0,0,2,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,437
0,0,2,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,2,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,430
0,0,2,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,427
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,420
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,433
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,427
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,444
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,424
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,431
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,424
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,431
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,435
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,432
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,427
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,432
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,430
0,0,3,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,3,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,430
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,413
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,440
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,420
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,427
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,431
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,419
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,433
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,431
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,429
0,0,4,-0.22,-0.22,-0.22,-0.23,-0.22,-0.22,428
0,0,4,-0.23,-0.22,-0.22,-0.23,-0.22,-0.22,429
